,Name,Studio,Episodes,Genres,Source,Type,Score,Members,Season,Year
620,Generation of Chaos,-,1,"[Action, Adventure, Demons, Magic, Fantasy]",-,OVA,3.77,"1,195",Summer,2001
621,Tokyo Juushouden: Fuuma Gogyou Denshou,-,3,"[Action, Adventure, Supernatural, Shounen]",-,OVA,5.47,261,Summer,2001
622,Sen to Chihiro no Kamikakushi,Studio Ghibli,1,"[Adventure, Supernatural, Drama]",Original,Movie,8.93,"545,583",Summer,2001
623,Cowboy Bebop: Tengoku no Tobira,Bones,1,"[Action, Space, Drama, Mystery, Sci-Fi]",Original,Movie,8.4,"150,762",Summer,2001
624,Final Fantasy: The Spirits Within,Square Enix,1,[Sci-Fi],Game,Movie,6.49,"55,706",Summer,2001
625,Digimon Tamers: Boukensha-tachi no Tatakai,Toei Animation,1,"[Adventure, Drama, Sci-Fi, Shounen]",Original,Movie,7.09,"13,455",Summer,2001
626,Arete Hime,Studio 4°C,1,"[Fantasy, Magic]",Novel,Movie,7.06,"6,738",Summer,2001
627,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,Studio Pierrot,1,"[Adventure, Shounen, Supernatural]",Manga,Movie,7.47,"6,707",Summer,2001
628,Gundam Neo Experience 0087: Green Divers,Sunrise,1,"[Adventure, Space, Mecha]",-,Movie,6.61,"1,975",Summer,2001
629,Shenmue: The Movie,-,1,"[Action, Game, Adventure, Martial Arts]",Game,Movie,6.59,737,Summer,2001
630,Kinnikuman II Sei: Second Generations,Toei Animation,1,[Comedy],-,Movie,6.59,514,Summer,2001
631,Inochi no Chikyuu: Dioxin no Natsu,-,1,[Drama],-,Movie,6.72,381,Summer,2001
632,Blue Remains,-,1,"[Adventure, Sci-Fi]",Original,Movie,4.85,347,Summer,2001
633,Tetsuwan Atom: Chikyuu Saigo no Hi,-,1,"[Mecha, Sci-Fi]",-,Movie,6.09,337,Summer,2001
634,Ginga Tetsudou 999: Niji no Michishirube,Toei Animation,1,"[Drama, Sci-Fi]",-,Movie,6.88513427562,239,Summer,2001
635,Lupin III: Alcatraz Connection,TMS Entertainment,1,"[Action, Adventure, Comedy, Shounen]",-,Special,7.27,"3,532",Summer,2001
636,Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,Studio Pierrot,1,"[Horror, Mystery, Supernatural]",Original,Special,7.09,"3,290",Summer,2001
637,Seikai no Senki Special,Sunrise,1,"[Action, Military, Romance, Sci-Fi, Space]",Light novel,Special,7.47,"2,296",Summer,2001
638,Di Gi Charat Natsuyasumi Special,-,4,[Comedy],-,Special,6.81,"1,690",Summer,2001
639,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,Sunrise,1,"[Mecha, Military]",-,Special,5.88,933,Summer,2001
640,Ie Naki Ko Remi Specials (2001),Nippon Animation,2,"[Slice of Life, Adventure, Drama]",-,Special,7.06,359,Summer,2001
641,Meiken Lassie Specials,Nippon Animation,2,"[Adventure, Slice of Life]",-,Special,6.88513427562,81,Summer,2001
642,Gakuen Senki Muryou: Soushuuhen,-,1,[Adventure],Original,Special,6.88513427562,75,Summer,2001
643,Macross,"Artland, Tatsunoko Production",36,"[Action, Mecha, Military, Music, Romance, Sci-Fi, Space]",Original,TV,8.06,"48,823",Fall,1982
644,Space Cobra,Tokyo Movie Shinsha,31,"[Action, Adventure, Sci-Fi, Space]",Manga,TV,7.84,"7,793",Fall,1982
645,Tokimeki Tonight,Group TAC,34,"[Comedy, Fantasy, Romance, Shoujo, Vampire]",Manga,TV,7.43,"3,412",Fall,1982
646,Waga Seishun no Arcadia: Mugen Kidou SSX,Toei Animation,22,"[Action, Adventure, Drama, Sci-Fi, Space]",-,TV,7.57,"2,892",Fall,1982
647,Shin Mitsubachi Maya no Bouken,Nippon Animation,52,"[Adventure, Comedy]",-,TV,6.41,"1,437",Fall,1982
648,Ai no Senshi Rainbowman,-,22,"[Action, Adventure, Mecha, Sci-Fi]",Other,TV,6.94,574,Fall,1982
649,Sasuga no Sarutobi,-,69,"[Action, Adventure, Comedy, Martial Arts, Romance, Sports]",Manga,TV,6.74,558,Fall,1982
650,Cybot Robocchi,-,39,"[Comedy, Sci-Fi]",-,TV,6.88513427562,182,Fall,1982
651,Hitotsuboshi-ke no Ultra Baasan,Shaft,13,"[Comedy, Slice of Life]",-,TV,6.88513427562,106,Fall,1982
652,Ninjaman Ippei,-,13,"[Action, Comedy, School, Slice of Life]",-,TV,6.88513427562,94,Fall,1982
653,Future War 198X-nen,"Studio World, Toei Animation",1,"[Military, Drama]",-,Movie,6.34,523,Fall,1982
654,Rokushin Gattai GodMars (1982),-,1,"[Action, Mecha, Sci-Fi, Space]",-,Movie,6.09,340,Fall,1982
655,Calligraffiti,-,1,[Music],-,Movie,4.51,230,Fall,1982
656,Super Majingga 3,-,1,"[Action, Space, Mecha, Sci-Fi]",-,Movie,5.14,150,Fall,1982
657,Tsushima Maru: Sayounara Okinawa,-,1,[Historical],-,Movie,6.88513427562,135,Fall,1982
658,Solar I.II.III,-,1,"[Action, Mecha, Shounen]",-,Movie,6.88513427562,126,Fall,1982
659,Ai no Kiseki: Doctor Norman Monogatari,-,1,"[Drama, Slice of Life]",-,Special,6.88513427562,129,Fall,1982
660,Shuffle!,"Asread, Xebec",24,"[Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen]",Visual novel,TV,7.28,"169,857",Summer,2005
661,Full Metal Panic! The Second Raid,Kyoto Animation,13,"[Action, Mecha, Military]",Light novel,TV,8.05,"164,217",Summer,2005
662,Suzuka,Studio Comet,26,"[Drama, Romance, Sports]",Manga,TV,7.34,"72,294",Summer,2005
663,Amaenaide yo!!,Studio Deen,12,"[Comedy, Ecchi, Harem, Romance, Supernatural]",Manga,TV,6.64,"51,401",Summer,2005
664,Ichigo Mashimaro,Daume,12,"[Slice of Life, Comedy]",4-koma manga,TV,7.76,"48,805",Summer,2005
665,Gun x Sword,AIC A.S.T.A.,26,"[Action, Adventure, Drama, Mecha, Sci-Fi, Shounen]",-,TV,7.36,"48,470",Summer,2005
666,Paniponi Dash!,Shaft,26,"[Comedy, Parody, School]",Manga,TV,7.56,"40,343",Summer,2005
667,Kamichu!,Brain's Base,12,"[Comedy, Drama, Slice of Life, Supernatural]",Original,TV,7.5,"35,397",Summer,2005
668,D.C.S.S: Da Capo Second Season,feel.,26,"[Comedy, Harem, Romance, Supernatural, Drama]",Visual novel,TV,7.13,"24,331",Summer,2005
669,Sugar Sugar Rune,Studio Pierrot,51,"[Fantasy, Magic, Shoujo]",Manga,TV,7.54,"17,826",Summer,2005
670,Okusama wa Joshikousei (TV),Madhouse,13,"[Slice of Life, Comedy, Romance, Drama]",Manga,TV,6.44,"15,061",Summer,2005
671,Kyoushoku Soukou Guyver (2005),OLM,26,"[Adventure, Sci-Fi, Shounen]",Manga,TV,7.38,"13,088",Summer,2005
672,Okusama wa Mahou Shoujo,J.C.Staff,13,"[Magic, Romance]",Original,TV,6.41,"5,447",Summer,2005
673,Tide-Line Blue,Telecom Animation Film,12,"[Action, Military, Adventure, Drama, Shounen]",Original,TV,6.76,"4,877",Summer,2005
674,PetoPeto-san,Xebec,13,"[Comedy, Fantasy, Romance, School]",Light novel,TV,6.63,"4,235",Summer,2005
675,Kidou Shinsengumi Moeyo Ken TV,Trinet Entertainment,13,"[Adventure, Comedy, Historical, Fantasy]",Game,TV,6.31,"3,599",Summer,2005
676,Akahori Gedou Hour Rabuge,Radix,13,"[Comedy, Magic, Parody]",Original,TV,6.29,"3,493",Summer,2005
677,Patalliro Saiyuuki!,-,26,"[Adventure, Comedy, Fantasy, Shoujo, Shounen Ai]",-,TV,6.87,"2,187",Summer,2005
678,Play Ball,Eiken,13,"[Action, Shounen, Sports]",-,TV,6.32,450,Summer,2005
679,Oden-kun,-,156,[Comedy],Picture book,TV,6.88513427562,131,Summer,2005
680,Navia Dratp,-,5,[Fantasy],Other,ONA,4.91,304,Summer,2005
681,Kuwagata Tsumami,-,84,[Comedy],Original,ONA,6.88513427562,79,Summer,2005
682,Final Fantasy VII: Last Order,Madhouse,1,"[Action, Adventure, Fantasy, Drama, Sci-Fi]",Game,OVA,7.44,"49,982",Summer,2005
683,Hametsu no Mars,WAO World,1,"[Sci-Fi, Horror]",Visual novel,OVA,2.35,"30,032",Summer,2005
684,Saishuu Heiki Kanojo: Another Love Song,-,2,"[Drama, Romance, Sci-Fi]",-,OVA,7.2,"12,779",Summer,2005
685,Seikai no Senki III,Sunrise,2,"[Action, Military, Romance, Sci-Fi, Space]",Light novel,OVA,7.83,"11,613",Summer,2005
686,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,-,1,"[Action, Sci-Fi, Harem, Space, Comedy, Shounen]",Original,OVA,7.38,"7,235",Summer,2005
687,Majokko Tsukune-chan,Xebec,6,"[Comedy, Magic, Seinen]",Manga,OVA,6.81,"1,721",Summer,2005
688,Prayers,-,2,[Sci-Fi],-,OVA,5.56,985,Summer,2005
689,Gakkou no Kaidan (OVA),Studio Pierrot,10,"[Comedy, Horror, Mystery, Supernatural]",-,OVA,6.59,515,Summer,2005
690,Kagayake! Yuujou no V Sign,Toei Animation,1,[Sports],-,OVA,6.88513427562,93,Summer,2005
691,Fullmetal Alchemist: The Conqueror of Shamballa,Bones,1,"[Military, Comedy, Historical, Drama, Fantasy, Shounen]",Manga,Movie,7.72,"198,099",Summer,2005
692,Final Fantasy VII: Advent Children,Square Enix,1,"[Action, Super Power, Fantasy]",Game,Movie,7.92,"146,445",Summer,2005
693,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Studio Pierrot,1,"[Adventure, Comedy, Drama, Fantasy, Shounen, Supernatural]",Manga,Movie,6.99,"104,854",Summer,2005
694,xxxHOLiC Movie: Manatsu no Yoru no Yume,Production I.G,1,"[Mystery, Comedy, Psychological, Supernatural, Drama]",Manga,Movie,8.03,"43,353",Summer,2005
695,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Production I.G,1,"[Action, Adventure, Fantasy, Drama, Shounen]",-,Movie,7.39,"34,863",Summer,2005
696,Final Fantasy VII: Advent Children - Venice Film Festival Footage,-,1,"[Action, Fantasy, Drama, Sci-Fi]",Game,Movie,7.69,"7,058",Summer,2005
697,Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,Toei Animation,1,"[Adventure, Shounen, Supernatural]",-,Movie,7.22,"3,890",Summer,2005
698,Hotori: Tada Saiwai wo Koinegau,Sunrise,1,"[Drama, Sci-Fi]",-,Movie,7.11,"3,870",Summer,2005
699,Glass no Usagi,-,1,[Historical],-,Movie,6.88,"1,231",Summer,2005
700,3-tsu no Kumo,-,3,[Dementia],Original,Movie,5.03,"1,008",Summer,2005
701,Shisha no Sho,-,1,"[Drama, Supernatural]",-,Movie,6.18,786,Summer,2005
702,Nagasaki 1945: Angelus no Kane,-,1,"[Drama, Historical, Military]",-,Movie,6.88513427562,392,Summer,2005
703,Wanghu Sim Cheong,-,1,[Fantasy],-,Movie,6.88513427562,327,Summer,2005
704,Byulbyul Iyagi,-,6,"[Psychological, Drama]",-,Movie,6.07,257,Summer,2005
705,Greek Roman Sinhwa: Olympus Guardian (Movie),-,1,"[Adventure, Fantasy, Historical]",-,Movie,6.2,217,Summer,2005
706,Kahei no Umi,Doga Kobo,1,[Historical],Original,Movie,6.88513427562,63,Summer,2005
707,Hong Haier: Juezhan Huoyanshan,-,1,"[Action, Adventure, Comedy, Demons, Fantasy]",Original,Movie,6.88513427562,36,Summer,2005
708,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Sunrise,1,"[Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Mecha, Shounen]",Manga,Special,8.13,"31,281",Summer,2005
709,Air in Summer,Kyoto Animation,2,"[Romance, Supernatural, Comedy, Historical, Drama]",Visual novel,Special,7.45,"30,551",Summer,2005
710,Full Metal Panic! The Second Raid Episode 000,Kyoto Animation,1,"[Action, Adventure, Mecha, Military]",Light novel,Special,7.54,"26,615",Summer,2005
711,Ghost in the Shell: Stand Alone Complex - The Laughing Man,Production I.G,1,"[Action, Mecha, Mystery, Police, Psychological, Sci-Fi, Seinen]",-,Special,8.17,"23,915",Summer,2005
712,Ghost in the Shell: Stand Alone Complex - The Laughing Man - Tachikoma no Hibi,Production I.G,1,"[Comedy, Mecha, Sci-Fi]",-,Special,7.04,"3,861",Summer,2005
713,Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,TMS Entertainment,1,"[Action, Adventure, Comedy, Shounen]",-,Special,7.27,"3,403",Summer,2005
714,Harukanaru Toki no Naka de: Hachiyou Shou Specials,-,8,"[Fantasy, Magic, Romance, Supernatural, Historical, Shoujo]",Visual novel,Special,6.52,"1,879",Summer,2005
715,Koi Koi 7 Specials,-,7,"[Comedy, Ecchi]",-,Special,5.95,"1,685",Summer,2005
716,Suki na Mono wa Suki Dakara Shou ga Nai!!: Onsen ni Ikou!,Zexcs,1,"[Comedy, School, Shoujo, Shounen Ai, Slice of Life]",Visual novel,Special,6.55,"1,172",Summer,2005
717,Fantastic Children Special,Nippon Animation,1,[Slice of Life],-,Special,7.17,990,Summer,2005
718,Ganbare! Kickers Specials,Studio Pierrot,2,"[Sports, Drama, Shounen]",Manga,Special,6.44,192,Summer,2005
719,Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special,TMS Entertainment,1,"[Action, Ecchi, Parody, Comedy]",-,Special,6.88513427562,126,Summer,2005
720,Platonic Chain: Ansatsu Jikkouchuu,-,1,"[Sci-Fi, Slice of Life]",Novel,Special,6.88513427562,102,Summer,2005
721,Akuei to Gacchinpo Tenkomori: Maboroshi no Omake Episode,-,1,[Comedy],-,Special,6.88513427562,67,Summer,2005
722,Bishoujo Senshi Sailor Moon,Toei Animation,46,"[Magic, Romance, Demons, Shoujo]",Manga,TV,7.72,"158,433",Spring,1992
723,Ashita e Free Kick,Production Reed,52,[Sports],Original,TV,6.69,"1,096",Spring,1992
724,Oyayubi Hime Monogatari,-,26,"[Adventure, Fantasy, Shoujo]",Book,TV,6.84,726,Spring,1992
725,Aa Harimanada,E&G Films,23,"[Sports, Martial Arts, Seinen]",Manga,TV,6.22,706,Spring,1992
726,Cooking Papa,Eiken,151,"[Comedy, Slice of Life]",-,TV,6.84,636,Spring,1992
727,Salad Juu Yuushi Tomatoman,-,50,"[Adventure, Comedy]",-,TV,6.84,498,Spring,1992
728,Genki Bakuhatsu Ganbaruger,Sunrise,47,"[Mecha, Shounen]",Original,TV,7.02,416,Spring,1992
729,Nagagutsu wo Haita Neko no Bouken,-,26,"[Adventure, Fantasy]",-,TV,6.83,407,Spring,1992
730,Chou Dendou Robo Tetsujin 28-gou FX,-,47,"[Action, Adventure, Mecha, Sci-Fi]",-,TV,6.54,392,Spring,1992
731,Manga Nihonshi (NHK Han),-,40,[Historical],-,TV,6.88513427562,208,Spring,1992
732,Oi! Ryouma,-,39,"[Adventure, Drama, Historical]",Manga,TV,6.88513427562,194,Spring,1992
733,Super Bikkuriman,Toei Animation,44,"[Adventure, Fantasy, Comedy, Demons, Sci-Fi]",-,TV,6.88513427562,181,Spring,1992
734,Youyou no Neko Tsumami,-,130,"[Slice of Life, Comedy]",-,TV,6.88513427562,123,Spring,1992
735,Sasurai-kun,Shin-Ei Animation,13,"[Slice of Life, Comedy]",Manga,TV,6.88513427562,74,Spring,1992
736,Macross II: Lovers Again,AIC,6,"[Adventure, Space, Mecha, Military, Sci-Fi, Shounen]",Original,OVA,6.46,"7,158",Spring,1992
737,Spirit of Wonder: China-san no Yuuutsu,Ajia-Do,1,"[Romance, Sci-Fi, Seinen]",-,OVA,6.7,"2,147",Spring,1992
738,KO Seiki Beast Sanjuushi,Gainax,7,"[Adventure, Comedy, Fantasy, Mecha, Shounen, Supernatural]",Original,OVA,6.67,"1,320",Spring,1992
739,Sousei Kishi Gaiarth,-,3,"[Action, Adventure, Mecha, Sci-Fi]",-,OVA,6.28,"1,212",Spring,1992
740,Joker: Marginal City,Studio Sign,1,"[Action, Sci-Fi, Romance]",Manga,OVA,5.63,615,Spring,1992
741,Genji,J.C.Staff,2,"[Historical, Magic, Romance]",-,OVA,6.88513427562,440,Spring,1992
742,Gorillaman,J.C.Staff,2,"[Comedy, School, Seinen]",-,OVA,6.88513427562,115,Spring,1992
743,Gekikara Gag Gekijou: Tabasco Shower,-,2,"[Ecchi, Comedy]",-,OVA,6.88513427562,100,Spring,1992
744,Zoku Naniwa Yuukyouden,Toei Animation,1,"[Action, Comedy]",-,OVA,6.88513427562,95,Spring,1992
745,Chika Gentou Gekiga: Shoujo Tsubaki,-,1,"[Drama, Historical, Horror]",Manga,Movie,6.23,"9,574",Spring,1992
746,Hashire Melos (Movie),-,1,"[Action, Adventure, Historical]",Novel,Movie,7.06,"2,269",Spring,1992
747,Candy Candy (Movie),Toei Animation,1,"[Slice of Life, Drama, Shoujo]",-,Movie,6.83,"2,241",Spring,1992
748,Maison Ikkoku: Prelude - Meguru Haru no Sakura no you ni...,-,1,"[Comedy, Romance, Drama]",-,Special,7.05,"1,822",Spring,1992
749,Dragon Ball Z,Toei Animation,291,"[Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power]",Manga,TV,8.31,"423,327",Spring,1989
750,Ranma ½,Studio Deen,161,"[Slice of Life, Comedy, Martial Arts, Fantasy]",Manga,TV,7.86,"115,261",Spring,1989
751,Tenkuu Senki Shurato,Tatsunoko Production,38,"[Action, Magic, Fantasy, Shounen]",Original,TV,7.41,"5,333",Spring,1989
752,Idol Densetsu Eriko,Production Reed,51,[Music],Original,TV,6.92,"2,003",Spring,1989
753,Transformers Victory,Toei Animation,44,"[Adventure, Mecha, Sci-Fi, Shounen]",-,TV,6.81,"1,511",Spring,1989
754,Aoi Blink,-,39,"[Adventure, Fantasy]",-,TV,6.96,998,Spring,1989
755,Madou King Granzort,Sunrise,41,"[Action, Sci-Fi, Comedy, Magic, Fantasy, Mecha, Shounen]",Original,TV,7.32,920,Spring,1989
756,Miracle Giants Doumu-kun,-,49,[Sports],-,TV,7.44,762,Spring,1989
757,Juushin Liger,Sunrise,43,"[Action, Mecha, Sci-Fi]",-,TV,6.69,642,Spring,1989
758,Akuma-kun,Toei Animation,42,"[Adventure, Fantasy, Horror, Magic, Supernatural]",Manga,TV,6.4,419,Spring,1989
759,Shin Bikkuriman,Toei Animation,72,"[Comedy, Fantasy]",-,TV,6.88513427562,125,Spring,1989
760,Ginga Eiyuu Densetsu,"Artland, Magic Bus",110,"[Military, Sci-Fi, Space, Drama]",Novel,OVA,9.11,"93,397",Spring,1989
761,Mobile Suit Gundam 0080: War in the Pocket,Sunrise,6,"[Military, Sci-Fi, Adventure, Space, Drama, Mecha]",Original,OVA,7.86,"24,873",Spring,1989
762,Youma,J.C.Staff,2,"[Action, Demons, Fantasy, Horror, Supernatural]",Manga,OVA,6.23,"4,560",Spring,1989
763,Mobile Suit SD Gundam Mk II,Sunrise,3,"[Mecha, Parody, Sci-Fi]",-,OVA,6.46,"2,255",Spring,1989
764,Yoroiden Samurai Troopers Gaiden,Sunrise,2,"[Adventure, Fantasy, Samurai, Shounen]",-,OVA,6.86,"1,746",Spring,1989
765,Riki-Oh: Toukatsu Jigoku,Magic Bus,1,"[Action, Martial Arts, Super Power, Seinen]",-,OVA,6.19,"1,507",Spring,1989
766,Crusher Joe OVA,Sunrise,2,"[Action, Sci-Fi, Adventure]",Light novel,OVA,6.68,"1,408",Spring,1989
767,Cleopatra D.C.,J.C.Staff,3,"[Action, Adventure, Sci-Fi]",Manga,OVA,6.08,"1,230",Spring,1989
768,Fuuma no Kojirou: Yasha-hen,Animate Film,6,[Action],Manga,OVA,6.91,907,Spring,1989
769,Explorer Woman Ray,-,2,"[Action, Adventure]",-,OVA,5.43,649,Spring,1989
770,Beat Shot!!,Gainax,1,"[Ecchi, Sports]",Manga,OVA,5.65,343,Spring,1989
771,Hoshi Neko Fullhouse,Artland,4,"[Comedy, Romance, Sci-Fi]",-,OVA,6.88513427562,200,Spring,1989
772,Burning Village,-,10,"[Fantasy, Horror]",-,OVA,6.88513427562,125,Spring,1989
773,Toki-iro Kaima,-,4,"[Horror, Shounen]",-,OVA,6.88513427562,118,Spring,1989
774,Shougeki Shinsengumi,-,1,"[Comedy, Historical]",-,OVA,6.88513427562,94,Spring,1989
775,Manie-Manie: Meikyuu Monogatari,Madhouse,3,"[Adventure, Fantasy, Horror, Sci-Fi, Supernatural]",Original,Movie,7.04,"10,810",Spring,1989
776,City Hunter: Ai to Shukumei no Magnum,"Production Reed, Sunrise",1,"[Action, Comedy, Mystery, Shounen]",Manga,Movie,7.57,"3,631",Spring,1989
777,Sengoku Kitan Youtouden Soushuuhen,J.C.Staff,1,"[Action, Martial Arts, Samurai]",-,Movie,6.05,"3,263",Spring,1989
778,Hengen Taima Yakou Karura Mau! Nara Onryou Emaki,-,1,"[Action, Adventure, Demons, Fantasy, Horror, Shoujo, Supernatural]",Manga,Movie,6.11,559,Spring,1989
779,Ultraman USA,-,1,"[Action, Adventure, Sci-Fi]",Other,Movie,6.0,304,Spring,1989
780,Cynical Hysterie Hour: Utakata no Uta,-,1,[Comedy],-,Movie,6.88513427562,142,Spring,1989
781,Cynical Hysterie Hour: Yoru wa Tanoshii,-,1,[Comedy],-,Movie,6.88513427562,118,Spring,1989
782,Lupin III: Bye Bye Liberty - Kiki Ippatsu!,-,1,"[Action, Adventure, Comedy, Shounen]",-,Special,7.02,"3,514",Spring,1989
783,Tengen Toppa Gurren Lagann,Gainax,27,"[Action, Adventure, Comedy, Mecha, Sci-Fi]",Original,TV,8.76,"634,614",Spring,2007
784,Darker than Black: Kuro no Keiyakusha,Bones,25,"[Action, Sci-Fi, Mystery, Super Power]",Original,TV,8.24,"483,237",Spring,2007
785,Claymore,Madhouse,26,"[Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen]",Manga,TV,7.9,"347,304",Spring,2007
786,Lucky☆Star,Kyoto Animation,24,"[Slice of Life, Comedy, Parody, School]",4-koma manga,TV,7.85,"329,795",Spring,2007
787,Lovely★Complex,Toei Animation,24,"[Comedy, Romance, Shoujo]",Manga,TV,8.21,"258,630",Spring,2007
788,Kaze no Stigma,Gonzo,24,"[Action, Magic, Romance, Fantasy, Shounen]",Light novel,TV,7.48,"226,458",Spring,2007
789,Seto no Hanayome,Gonzo,26,"[Comedy, Parody, Romance, School]",Manga,TV,7.93,"178,594",Spring,2007
790,Hayate no Gotoku!,SynergySP,52,"[Action, Comedy, Harem, Parody, Romance]",Manga,TV,7.73,"138,085",Spring,2007
791,Seirei no Moribito,Production I.G,26,"[Action, Adventure, Historical, Fantasy]",Novel,TV,8.23,"116,643",Spring,2007
792,Romeo x Juliet,Gonzo,24,"[Fantasy, Romance, Historical, Drama]",Other,TV,7.83,"99,979",Spring,2007
793,Bokurano,Gonzo,24,"[Sci-Fi, Psychological, Drama, Mecha]",Manga,TV,7.79,"88,134",Spring,2007
794,Dennou Coil,Madhouse,26,"[Adventure, Comedy, Drama, Mystery, Sci-Fi]",Original,TV,8.18,"83,186",Spring,2007
795,Sola,Nomad,13,"[Drama, Romance, Slice of Life, Supernatural]",Manga,TV,7.34,"74,395",Spring,2007
796,Heroic Age,Xebec,26,"[Action, Mecha, Military, Sci-Fi, Space]",Original,TV,7.65,"68,010",Spring,2007
797,Nagasarete Airantou,feel.,26,"[Comedy, Ecchi, Fantasy, Harem, Romance]",Manga,TV,7.42,"55,752",Spring,2007
798,Ookiku Furikabutte,A-1 Pictures,25,"[Comedy, Sports]",Manga,TV,8.09,"53,478",Spring,2007
799,Kaibutsu Oujo,Madhouse,25,"[Action, Comedy, Supernatural, Horror, Vampire, Shounen]",Manga,TV,7.15,"47,954",Spring,2007
800,Terra e... (TV),"Minami Machi Bugyousho, Tokyo Kids",24,"[Action, Drama, Military, Sci-Fi, Space]",Manga,TV,8.05,"39,133",Spring,2007
801,Mahou Shoujo Lyrical Nanoha StrikerS,Seven Arcs,26,"[Action, Magic, Comedy, Super Power, Drama]",Original,TV,7.73,"37,199",Spring,2007
802,El Cazador de la Bruja,Bee Train,26,"[Adventure, Drama, Mystery]",Original,TV,7.31,"33,838",Spring,2007
803,Kamichama Karin,Satelight,26,"[Comedy, Fantasy, Magic, Romance, School, Shoujo]",Manga,TV,7.49,"32,457",Spring,2007
804,Bakugan Battle Brawlers,TMS Entertainment,52,"[Action, Game, Fantasy]",Original,TV,6.36,"29,943",Spring,2007
805,Over Drive,Xebec,26,"[Shounen, Sports]",Manga,TV,7.74,"29,806",Spring,2007
806,Blue Dragon,Studio Pierrot,51,"[Adventure, Comedy, Fantasy, Supernatural]",Game,TV,6.55,"25,178",Spring,2007
807,Saiunkoku Monogatari 2nd Season,Madhouse,39,"[Adventure, Comedy, Drama, Fantasy, Historical, Romance]",Light novel,TV,8.19,"24,717",Spring,2007
808,Shining Tears X Wind,Studio Deen,13,"[Action, Adventure, Fantasy, Magic]",Game,TV,6.63,"24,517",Spring,2007
809,Shinkyoku Soukai Polyphonica,Ginga Ya,12,"[Music, Drama, Romance, Fantasy, School]",Visual novel,TV,6.96,"23,623",Spring,2007
810,Skull Man,Bones,13,"[Action, Mystery, Super Power]",Manga,TV,6.78,"17,716",Spring,2007
811,iDOLM@STER Xenoglossia,Sunrise,26,"[Action, Comedy, Mecha, Sci-Fi]",Original,TV,6.66,"16,143",Spring,2007
812,Hitohira,Xebec,12,"[Drama, Romance, School, Slice of Life]",Manga,TV,6.89,"14,936",Spring,2007
813,Touka Gettan,Studio Deen,26,"[Romance, Supernatural, Drama]",Visual novel,TV,6.7,"14,529",Spring,2007
814,Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,Artland,13,"[Harem, Romance, School]",Visual novel,TV,6.33,"13,513",Spring,2007
815,Eikoku Koi Monogatari Emma: Molders-hen,Ajia-Do,12,"[Slice of Life, Romance, Historical, Drama, Seinen]",Manga,TV,8.01,"12,968",Spring,2007
816,Oh! Edo Rocket,Madhouse,26,"[Comedy, Drama, Fantasy, Historical, Sci-Fi]",Other,TV,7.36,"8,570",Spring,2007
817,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),Production I.G,12,"[Comedy, Mecha, Sci-Fi]",Manga,TV,7.45,"8,307",Spring,2007
818,Kiss Dum: Engage Planet,Satelight,26,"[Mecha, Military, Sci-Fi]",Original,TV,6.76,"7,034",Spring,2007
819,Koutetsu Sangokushi,Picture Magic,25,"[Adventure, Historical, Shounen]",-,TV,6.4,"6,809",Spring,2007
820,Moonlight Mile 1st Season: Lift Off,Studio Hibari,12,"[Adventure, Drama, Sci-Fi, Space]",Manga,TV,7.25,"6,594",Spring,2007
821,Wellber no Monogatari: Sisters of Wellber,Production I.G,13,"[Action, Adventure, Comedy, Drama, Fantasy, Historical]",Original,TV,6.77,"5,931",Spring,2007
822,Saint Beast: Kouin Jojishi Tenshi Tan,-,13,[Fantasy],-,TV,6.46,"4,913",Spring,2007
823,Kishin Taisen Gigantic Formula,Brain's Base,26,"[Mecha, Sci-Fi]",Original,TV,6.97,"4,834",Spring,2007
824,Koutetsushin Jeeg,Actas,13,"[Mecha, Sci-Fi]",-,TV,7.08,"3,863",Spring,2007
825,Kaze no Shoujo Emily,TMS Entertainment,26,"[Historical, Drama, Shoujo]",Novel,TV,7.48,"3,180",Spring,2007
826,Spider Riders: Yomigaeru Taiyou,-,26,"[Action, Adventure, Mecha]",Novel,TV,6.81,"2,072",Spring,2007
827,Gegege no Kitarou (2007),Toei Animation,100,"[Comedy, Horror, Fantasy]",Manga,TV,7.02,"1,824",Spring,2007
