,Name,Studio,Episodes,Genres,Source,Type,Score,Members,Season,Year
356,Fujiko F. Fujio: Sukoshi Fushigi Tanpen Theater,-,11,"[Adventure, Sci-Fi, Shounen, Space]",-,OVA,6.88513427562,107,Winter,1990
357,Kentoushi,-,3,"[Seinen, Sports]",-,OVA,6.88513427562,104,Winter,1990
358,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,Toei Animation,1,"[Adventure, Comedy, Fantasy, Sci-Fi, Shounen]",Manga,Movie,6.87,"57,604",Winter,1990
359,Kumo no You ni Kaze no You ni,Studio Pierrot,1,"[Adventure, Historical, Drama, Romance]",Novel,Movie,7.0,"3,798",Winter,1990
360,Maroko,Studio Pierrot,1,"[Sci-Fi, Comedy]",Original,Movie,6.62,424,Winter,1990
361,Tistou Midori no Oyayubi,Production I.G,1,"[Historical, Magic]",Original,Movie,7.0,374,Winter,1990
362,Mahoutsukai Sally (Movie),Toei Animation,1,"[Comedy, Magic, Shoujo]",-,Movie,6.02,247,Winter,1990
363,Chinpui: Eri-sama Katsudou Daishashin,Shin-Ei Animation,1,[Comedy],-,Movie,6.88513427562,124,Winter,1990
364,"Umi Da! Funade Da! Nikoniko, Pun",-,1,"[Fantasy, Comedy]",-,Movie,6.88513427562,92,Winter,1990
365,Meoteoldosawa 108 Yogoe,-,1,"[Action, Adventure, Fantasy, Shounen]",-,Movie,6.88513427562,78,Winter,1990
366,Ojisan Kaizou Kouza,-,1,[Comedy],-,Movie,6.88513427562,73,Winter,1990
367,Warau Salesman Dai SP-banashi,-,8,"[Psychological, Seinen, Supernatural]",Manga,Special,6.88513427562,140,Winter,1990
368,Mahou Shoujo Madoka★Magica,Shaft,12,"[Drama, Magic, Psychological, Thriller]",Original,TV,8.49,"519,740",Winter,2011
369,Kore wa Zombie Desu ka?,Studio Deen,12,"[Action, Comedy, Ecchi, Harem, Magic, Supernatural]",Light novel,TV,7.64,"328,084",Winter,2011
370,IS: Infinite Stratos,8bit,12,"[Action, Sci-Fi, Harem, Comedy, Mecha]",Light novel,TV,7.09,"281,185",Winter,2011
371,Gosick,Bones,24,"[Mystery, Historical, Drama, Romance]",Light novel,TV,8.21,"257,392",Winter,2011
372,Beelzebub,Pierrot Plus,60,"[Action, Comedy, Demons, Supernatural, School, Shounen]",Manga,TV,8.04,"245,535",Winter,2011
373,Kimi ni Todoke 2nd Season,Production I.G,12,"[Slice of Life, Romance, School, Shoujo]",Manga,TV,8.15,"190,715",Winter,2011
374,Freezing,A.C.G.T.,12,"[Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen]",Manga,TV,7.17,"174,734",Winter,2011
375,Dragon Crisis!,Studio Deen,12,"[Action, Magic, Romance, School, Seinen, Supernatural]",Light novel,TV,6.9,"102,652",Winter,2011
376,Yumekui Merry,J.C.Staff,13,"[Action, Supernatural, Shounen]",Manga,TV,7.07,"94,314",Winter,2011
377,Hourou Musuko,AIC Classic,11,"[Drama, School, Slice of Life]",Manga,TV,7.8,"60,106",Winter,2011
378,Level E,"David Production, Studio Pierrot",13,"[Sci-Fi, Comedy, Shounen]",Manga,TV,7.56,"58,667",Winter,2011
379,Fractale,"A-1 Pictures, Ordet",11,"[Adventure, Fantasy, Sci-Fi]",Original,TV,7.05,"58,111",Winter,2011
380,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,Zexcs,12,"[Harem, Comedy, Romance, Ecchi]",Manga,TV,6.32,"54,971",Winter,2011
381,Mitsudomoe Zouryouchuu!,Bridge,8,"[Slice of Life, Comedy, School]",-,TV,7.81,"28,154",Winter,2011
382,Cardfight!! Vanguard,TMS Entertainment,65,"[Action, Adventure, Demons, Game, Shounen]",Original,TV,7.22,"26,965",Winter,2011
383,Rio: Rainbow Gate!,Xebec,13,"[Game, Comedy, Ecchi]",Other,TV,5.99,"23,821",Winter,2011
384,Haiyoru! Nyaruani: Remember My Love(craft-sensei),DLE,11,"[Comedy, Sci-Fi]",Light novel,TV,6.31,"19,060",Winter,2011
385,Wolverine,Madhouse,12,"[Action, Martial Arts, Super Power]",Other,TV,6.23,"15,836",Winter,2011
386,Bakugan Battle Brawlers: Mechtanium Surge,TMS Entertainment,46,"[Action, Adventure, Fantasy, Game, Shounen]",-,TV,6.26,"10,450",Winter,2011
387,Suite Precure♪,Toei Animation,48,"[Action, Fantasy, Magic, Shoujo]",Original,TV,7.35,"7,854",Winter,2011
388,DD Hokuto no Ken,-,12,"[Parody, Seinen]",Manga,TV,6.26,"2,540",Winter,2011
389,Chi-Sui Maru 2nd Season,-,34,[Comedy],-,TV,6.88513427562,127,Winter,2011
390,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,AIC Build,4,"[Comedy, Seinen, Slice of Life]",Light novel,ONA,7.62,"110,639",Winter,2011
391,Houkago no Pleiades,Gainax,4,[Magic],Original,ONA,6.19,"14,088",Winter,2011
392,Rain Town,-,1,[Drama],Original,ONA,7.35,"13,492",Winter,2011
393,SKET Dance: SD Character Flash Anime,Tatsunoko Production,16,"[Comedy, School, Shounen]",-,ONA,6.71,"2,217",Winter,2011
394,Timbre A to Z,-,26,[Music],-,ONA,4.89,239,Winter,2011
395,Golden Kids,-,2,"[Sports, School]",-,ONA,6.88513427562,167,Winter,2011
396,Monster ni Natta Domerica,-,1,"[Action, Fantasy]",-,ONA,6.88513427562,164,Winter,2011
397,Luo Xiao Hei Zhan Ji,-,?,"[Comedy, Supernatural]",Original,ONA,6.88513427562,150,Winter,2011
398,Kawaii Cook-san,Kachidoki Studio,1,[Slice of Life],-,ONA,4.99,148,Winter,2011
399,Kanai,-,1,[Mecha],-,ONA,6.88513427562,147,Winter,2011
400,Interior,-,1,"[Adventure, Comedy]",-,ONA,6.88513427562,114,Winter,2011
401,Shuukan Shimakou Special,-,1,[Comedy],-,ONA,6.88513427562,112,Winter,2011
402,Pinky Monkey x FaFa Collaboration Animation: At Afternoon of Sunny Day,-,1,[Slice of Life],Other,ONA,6.88513427562,100,Winter,2011
403,Black Lagoon: Roberta's Blood Trail,Madhouse,5,"[Action, Seinen]",Manga,OVA,8.14,"118,663",Winter,2011
404,Baka to Test to Shoukanjuu: Matsuri,Silver Link.,2,"[Comedy, School, Super Power]",Light novel,OVA,7.78,"73,561",Winter,2011
